Priority	3pg[c]	3php[c]	nad[c]	nadh[c]	ser__L[c]	param_PGCD_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
1	0	1	0	1	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateRev.txt"	27.8
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	1	0	1	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/absRateFor.txt"	13.5
1	0	3.200000000000002e-7	0	1	6.25e-6	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.06060606060606065
1	0	1.011928851253882e-6	0	1	6.25e-6	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.16016871556802817
1	0	3.200000000000002e-6	0	1	6.25e-6	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.3333333333333334
1	0	0.00001011928851253882	0	1	6.25e-6	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.5064979510986387
1	0	0.00003200000000000002	0	1	6.25e-6	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.6060606060606061
1	0	3.200000000000002e-7	0	1	0.0000125	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.045454545454545484
1	0	1.011928851253882e-6	0	1	0.0000125	1	8.8	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_PGCD_attempt_3_typeII/input/relRateRev_3php.txt"	0.12012653667602112
