Priority	2dda7p[c]	e4p[c]	pep[c]	pi[c]	2pg[c]	param_DDPA_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	1	2.2606977883586255e-6	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310197
1	0	1	3.582964534981475e-6	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508014
1	0	1	5.678616100321741e-6	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.38686317984685703
1	0	1	9.000000000000007e-6	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.5000000000000002
1	0	1	0.000014264038732150038	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531433
1	0	1	0.000022606977883586257	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491989
1	0	1	0.00003582964534981475	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868982
1	0	1	0.00005678616100321741	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.86319311139679
1	0	1	0.00009000000000000007	0	0	1	6.8	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909092
1	0	0.000024999999999999994	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.09090909090909088
1	0	0.00003962232981152784	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.13680688860321003
1	0	0.00006279716078773954	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.20076000891310186
1	0	0.0000995267926383742	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.28474724895080117
1	0	0.00015773933612004822	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.3868631798468568
1	0	0.00024999999999999995	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.4999999999999999
1	0	0.0003962232981152784	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.6131368201531431
1	0	0.0006279716078773954	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.7152527510491987
1	0	0.0009952679263837431	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.7992399910868982
1	0	0.0015773933612004821	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.8631931113967899
1	0	0.002499999999999999	1	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.9090909090909092
1	0	1	3.5000000000000004e-6	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909093
1	0	1	5.5471261736139e-6	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321008
1	0	1	8.791602510283538e-6	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310192
1	0	1	0.000013933750969372393	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.2847472489508013
1	0	1	0.000022083507056806758	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.3868631798468569
1	0	1	0.000035000000000000004	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.5000000000000001
1	0	1	0.000055471261736139	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531432
1	0	1	0.00008791602510283538	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491988
1	0	1	0.0001393375096937241	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868984
1	0	1	0.00022083507056806757	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.86319311139679
1	0	1	0.00035000000000000005	0	0	1	6.4	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909092
1	0	0.00009000000000000007	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.090909090909091
1	0	0.00014264038732150037	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.13680688860321014
1	0	0.00022606977883586233	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.20076000891310186
1	0	0.00035829645349814786	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.2847472489508016
1	0	0.0005678616100321741	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.38686317984685703
1	0	0.0009000000000000007	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.5000000000000002
1	0	0.001426403873215004	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.6131368201531433
1	0	0.0022606977883586257	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.7152527510491989
1	0	0.0035829645349814785	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.7992399910868984
1	0	0.005678616100321741	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.8631931113967901
1	0	0.009000000000000006	1	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_e4p.txt"	0.9090909090909092
1	0	1	8.000000000000003e-6	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909093
1	0	1	0.000012679145539688918	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321008
1	0	1	0.000020095091452076665	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.20076000891310192
1	0	1	0.000031848573644279767	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.28474724895080133
1	0	1	0.00005047658755841546	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.3868631798468569
1	0	1	0.00008000000000000003	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.5000000000000001
1	0	1	0.00012679145539688918	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.6131368201531432
1	0	1	0.00020095091452076666	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7152527510491989
1	0	1	0.000318485736442798	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.7992399910868984
1	0	1	0.0005047658755841546	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.86319311139679
1	0	1	0.0008000000000000004	0	0	1	7	37	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.9090909090909091
1	0	1	9.000000000000007e-7	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.09090909090909097
1	0	1	1.4264038732150038e-6	0	0	1	7.5	25	"/home/kevin/Desktop/MASSef/examples/fit_DDPA_Final_typeII/input/relRateFor_pep.txt"	0.13680688860321014
