Priority	dhap[c]	fdp[c]	g3p[c]	param_FBA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0.00005375872022286247	0.00008475	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.1466926537256108
1	0	0.00017000000000000007	0.00008475	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.3224033751101084
1	0	0.0005375872022286248	0.00008475	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.5189862983409591
1	0	0.0017000000000000008	0.00008475	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.6429602107039636
1	0	0.000017000000000000007	0.0001695	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.03826817364048052
1	0	0.00005375872022286247	0.0001695	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.10557799980247537
1	0	0.00017000000000000007	0.0001695	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.23790214064488469
1	0	0.0005375872022286248	0.0001695	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.39409821863333694
1	0	0.0017000000000000008	0.0001695	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.49736090515946624
1	0	0.000017000000000000007	0.000339	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.024234933320942342
1	0	0.00005375872022286247	0.000339	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.06765413357339259
1	0	0.00017000000000000007	0.000339	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.1560837218767395
1	0	0.0005375872022286248	0.000339	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.2660530227610886
1	0	0.0017000000000000008	0.000339	1	8	30	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_FBA2_typeII/input/otherRateRelFor_fdp_prod_inhib_g3p.txt"	0.3423221671915222
