ssd,Km,Km_cit,kcat,kcat_cit,Keq,Keq_cit
0.001136707885340164,0.0012812367308865245,0.00448431907655155,1.5220075028948222e-6,1.9338667111248244e-7,11.338755005657882,0.000049659362705262804
0.0021083765149017396,0.0015466599308492537,0.00469189538260703,0.00015923784889229772,0.00020544635175173356,13.423631504771965,0.00028229750668353593
0.0022183750178674886,0.001235907375806501,0.0055684316474718006,4.390287557960171e-6,0.00008432764253366017,0.00011924710952501149,20.755697103230787
0.0036564995947800287,0.0014285625196078665,0.0045172948226699485,7.768478643103743e-6,0.00003376314143732398,0.020656767528572324,24.971441853655833
0.003821734731968945,0.0012813705841150473,0.004487262857702469,3.10252414608034e-7,5.642901455123858e-8,0.0002589785304373123,25.928679489634384
0.004180508581220865,7.434409103406942,0.16014870902717554,6.232592665473652,3.5602936428998215,14.370237816249304,18.077304209486865
0.0078045102382406665,0.001277245963514199,0.004202013504984173,0.000010108028063139119,0.000895946705794882,0.009571713912329093,36.154861533720215
0.012622905503866156,0.0008513900325238655,0.006257937856064474,0.0004754370532769376,0.00007496992973321736,0.004009876590554885,37.23969154484723
0.01690458099103782,0.0012754821237549987,0.004487760057233364,4.726993637284948e-6,4.834825373513753e-6,0.000038697450751207266,38.05381591313799
0.018048515097290035,59.501547374109094,54.1550542996794,2.4182682200062127,2.8214167689220195,1.123933455402654,0.46043835876224176
0.053303239089106266,85.70413979591517,46.32176731696215,0.3868249030269585,0.9149784736907635,0.06778288027820474,0.19885137875695047
0.055389708681965584,0.0012585390906273836,0.004894400256351486,8.236940397304163e-6,0.00008379866787412406,0.0002584563057415065,74.01685422703733
0.0626405012374069,0.0012799530762396458,0.004493346380524872,0.000012023602723568703,0.0007164768301076637,0.000024946934539568203,82.66603100214337
0.10961375167127471,2.083212282684557,0.5498280996072836,12.66079008862872,47.28166847807414,8.058680555526143,5.419348621721334
0.1194390345209838,15.366795058611821,2.4329860996315147,27.430872158069125,13.804152473059233,56.820733681964306,29.197476836716863
0.1272531697319484,1.9995314853081314,0.13004429827352074,62.00197056507519,37.761283991502395,7.200692977511817,2.299803251075486
0.1302384978454378,1.3656557764923174,1.4713825663814233,6.990189931306576,50.347314370339056,2.736848365153493,1.2466279675835026
0.21138952858077084,86.91988500061328,46.514972987536055,0.005085086719147147,0.5802111832364885,0.002869360689449488,64.88038072239124
0.2251886133545302,0.5167755642595865,0.9353253503363569,0.41223892480508434,59.012846863007475,0.8554298193207613,5.798527000480175
0.2582860545295411,0.0012939116628760527,0.0045972647252851915,0.0003967977248518084,0.0002790311730005124,160.6553862045908,7.883866141968012
0.33747522902167415,60.10943931550364,54.09058461016245,73.97496618415337,31.197197446130172,44.84233490733298,0.8647523878193178
0.38114050235062885,0.2362709264980523,0.6231927524724936,15.597953967526749,48.43095028377961,131.79514196742636,2.3391982099230657
0.47670991407559243,0.16609838853587586,1.7399637754900104,2.4194110585817166,68.38297141928841,0.6646140613621992,5.307409523360334
0.5059159601503306,0.001319687083085717,0.003025370030160563,0.00001931122640168135,0.0032112202443072826,0.000031727689137110925,299.8654800872249
0.5396801349650854,0.06678326951435494,0.08926630215199531,2.50835645397983e-6,0.11049568019944946,443.14206364317255,4.084457763099829
0.5490052321735042,1.9787937576484667,1.2992881697832255,19.67982118882378,81.4480586178948,2.787858699680486,14.181731071065778
0.7285536652171772,0.0017767214844413002,0.004349507527923923,0.0001591904311160601,0.0002628521562707466,0.0001416238323616065,464.4542725378481
0.731025529323204,0.1707054781865163,2.3563551497435293,3.5654432152178326,83.37615969023207,2.0435571272193416,11.104053542957644
1.001191004657584,0.09300098117909733,0.08809003194792195,272.29110182892936,74.51636095296341,0.26476144270500335,0.0004741807983524542
1.5844254421446322,0.0616871831532947,0.0022250817832244274,272.1578373694778,74.52548478774568,0.015247575492108959,0.007691250969714835
1.9262417089005157,0.005594354612788583,0.011035390859772202,272.15870898354785,74.52542517428188,0.32353350166587946,0.028440224264235127
2.0973866762690996,0.03288743043121565,0.015473903919911894,272.13057529462105,74.52735073148739,0.3514694423875309,0.05054259861256694
2.1262718584852807,0.00561189874240676,0.03144563250072437,272.1587157694295,74.52542434565669,0.4367721077380294,0.2367446047399665
2.3760313847843895,0.005613223088990763,0.010608957133388415,272.1585854391462,74.5254336386265,8.126991816331546e-6,0.5358626969727314
2.5445818724874063,0.005577060712440897,0.010587087562076101,272.05964405348783,74.53220626074022,0.024174590681303388,0.01774189904105177
2.6313606505448637,0.04950333172721126,0.02475591971640683,272.00963031131215,74.53562926579642,0.059558546377342585,0.0010545996819487995
2.714324100281362,0.08096228927462379,0.032469709140030396,271.9796501762481,74.53768114043442,0.07409118321533245,0.08930195926280905
2.7284582739872034,0.009144597972836331,0.007745812037215408,272.1587327893547,74.52542358533745,0.0004669152559333172,0.7832542339832672
5.372605848729428,0.005572717222541414,0.01064702814573739,272.15872234102335,74.52542426704638,0.019377344867566034,0.928100123218942
7.462735394861053,0.005596685061651441,0.010643918271744797,272.1587345395288,74.52542343121917,0.4300883218770515,2.365799254567476
7.462838666439369,0.005774750174304242,0.012276801585325669,272.15870508746286,74.52542541791074,2.979952049528463,0.6257634206549002
7.462880825020451,0.006075520436238021,0.016403452388391006,272.15864174734037,74.5254296784599,2.52910232293305,1.9655959472312357
7.46288350185364,0.0055977541435743095,0.010786339306252998,272.1587051716057,74.52542543963946,3.5637863422781524,1.8957447852556084
7.462937713845962,0.004200334347965838,0.01228854223677259,272.15106337407946,74.52594850739469,0.0005391432507484785,4.66776192513902
7.462962477146333,0.0052951830199855,0.010425761528106087,272.15689756808274,74.52554918305044,0.0017752006590106497,5.876693907162201
7.462986343899806,0.10556882609084055,0.057496793366438,272.0107514541514,74.53555165478825,6.020708095986651,1.1119325047791775
7.463686154753419,0.027600579040582236,0.01694743082217566,272.13992102134915,74.52671100844283,7.508105481674314,0.0010841267374930503
7.4637568170841355,0.011012399355451615,0.014511757653196638,272.1543135682815,74.52572499564563,6.9904113996816255,2.884142247303791
7.464066274468452,0.031450980912838176,0.025060898539170824,272.12132245924687,74.52798393639122,7.637946955514498,0.2870553642805318
7.464788931548077,0.00508186687375793,0.009266781286045061,272.15634186709127,74.525587239538,12.146445268589524,0.028862691585642097
7.465521783553716,0.03456361424515589,0.02383579606837406,272.1586962943123,74.52542686944449,0.03158893435225107,12.213991564125317
7.465787601083336,0.06430788801633606,0.034571759832944096,272.09763552199917,74.52960499781061,13.69895625677261,1.8705357292956866
7.466370978740435,0.04710441407787288,0.025999035721641712,272.06432280687795,74.53188550876952,14.165295850530274,0.0008335475097832757
7.469679886836297,0.01207055896946011,0.012387916162473256,272.1428515849996,74.52651056841854,15.406273638787715,0.12496228995453197
7.471507100860572,0.005595884489291435,0.014219797558993576,272.1585977932345,74.5254327285466,17.023386841441045,0.9765355933405847
7.474729515001782,0.006342403825795313,0.09107951880035606,272.1583495518269,74.52544834621034,0.0005560922118531157,18.26558790250373
7.475671795150179,0.005003347519026554,0.06855433977176005,272.1565184830901,74.52557407405028,10.58214247560528,16.70912296191991
7.476815537734767,0.005605917645000944,0.010615968700879927,272.15873064719,74.52542369897472,0.0001937480043276971,22.374221422964002
7.479390268849146,0.006488356980024285,0.010795557789318498,272.157609143971,74.52550045923715,22.786402410728762,0.04487345164759621
7.482611915373951,0.005898280598170352,0.010212352510640241,272.1560556184503,74.52560681133143,14.972573745093959,16.713140625047977
7.487046644357762,15.475290641017347,0.32352780389699415,315.8880336095046,71.3652718618091,7.631012155531855,16.86438002963045
7.491614591634558,0.00556878156218396,0.0105453304434218,272.15862037275843,74.52543124863497,1.0256418947100037,24.410748179176224
7.50133299004157,0.005599359365758462,0.010587612956555543,272.1587246587141,74.52542410791577,1.2474531202369223,19.67193254714167
7.5069430084609605,0.005583156047655649,0.010565933165792052,272.1587143993352,74.52542481075423,0.010804227462658869,21.46936616716738
7.515051692682085,0.005603097704132673,0.010336261194711434,272.15871562351043,74.52542473219556,0.0016869093288073582,28.331203370393304
7.515365492671644,1.1729302184366905,2.0202812129001066,270.6458213624344,74.6290137976422,29.09982113554004,6.453320838503084
7.522691850812958,0.06462043350004514,0.04234479339208271,272.15866309097953,74.52542896700444,0.05338693207315803,30.718537113225985
7.526824945194634,10.474647045917358,0.014200219388141325,253.15017829909556,75.82651822857439,23.89638647198656,14.682482680379163
7.56046224486789,0.005602719995268596,0.01100116514968916,272.15875294463115,74.5254221656763,28.36068970624799,21.66277820132028
7.5831977175649055,0.005550050047499346,0.01062716824342112,272.1586710381528,74.52542777949458,37.54771515059285,1.179692029033846
7.588435694502287,0.005012763947912645,0.06069141857388599,272.156656554049,74.52556478210272,0.003412853400578584,38.62755877226332
7.591022292171442,0.0023211854671937745,0.04253929209521153,272.12984952786167,74.52740010672679,0.12361427418485123,38.83009884536479
7.594826824670724,0.00556277791318661,0.02616091676561561,272.1585854443519,74.52543336102552,15.23700459583677,37.83978710689712
7.609100562654866,13.384317773643824,1.1416902919390401,278.1551659034473,74.11491435613044,44.65028776141165,3.113272142532456
7.621883231758206,0.005625571926238262,0.010646379096354514,272.15873505033727,74.52542339676717,0.000051603034775885825,31.679371751550335
